
--------------NEW TEST-----------------

HM125K:F34,I33,E33
10475616.000000,17300492.000000,18056494.000000,12157466.000000,11285545.000000,:0.075275,0.000412,0.000481,0.079443,0.075998,;24139034.000000,23880612.000000,23576786.000000,23834642.000000,23848608.000000,:0.000156,0.000175,0.000144,0.000112,0.000144,;25567586.000000,24892630.000000,25766738.000000,17810198.000000,25656586.000000,:0.000212,0.000169,0.000156,0.000269,0.000169,;47144236.000000,47886988.000000,47782732.000000,47233448.000000,47106484.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
12496642.000000,16944358.000000,25800878.000000,25124136.000000,23921114.000000,:0.000130,0.000355,0.000475,0.000470,0.012009,;26849282.000000,26264094.000000,26359988.000000,26584374.000000,26627132.000000,:0.000160,0.000095,0.000125,0.000225,0.000185,;22788190.000000,24578686.000000,27952288.000000,28127720.000000,28466334.000000,:0.017782,0.000215,0.000315,0.000210,0.000220,;55368992.000000,56070468.000000,55197692.000000,55351832.000000,54201572.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;


HM1M:F90,I5,E5
5938136.500000,5940041.000000,5955323.000000,5816084.000000,5954507.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3404406.000000,3379668.500000,3372988.500000,3374126.500000,3383075.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3267941.750000,3216747.750000,3217803.500000,3218166.000000,3219720.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4203376.000000,4221208.000000,4202157.500000,4217416.000000,4213542.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
10810986.000000,10864251.000000,10870097.000000,10784462.000000,10815025.000000,:0.000000,0.000000,0.000000,0.000000,0.000050,;6395743.000000,6347090.500000,6358572.500000,6393657.500000,6381926.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6063895.500000,6031890.500000,6036861.000000,6025929.500000,6037043.500000,:0.000000,0.000050,0.000000,0.000000,0.000000,;7951938.500000,7920917.500000,7900204.500000,7918126.500000,7905513.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
19910998.000000,18420706.000000,20994516.000000,21046212.000000,20577720.000000,:0.000000,0.000025,0.000025,0.000025,0.000000,;12957522.000000,12918853.000000,12895572.000000,12893867.000000,12907931.000000,:0.000000,0.000025,0.000000,0.000000,0.000000,;12293734.000000,12281052.000000,12359030.000000,12317584.000000,12333615.000000,:0.000000,0.000000,0.000000,0.000000,0.000025,;16445610.000000,16469852.000000,16455014.000000,16506757.000000,16507507.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
38758964.000000,38510240.000000,39015832.000000,38993392.000000,39107596.000000,:0.000062,0.000025,0.000012,0.000012,0.000075,;25149404.000000,25069960.000000,25075148.000000,25035290.000000,25124840.000000,:0.000012,0.000012,0.000000,0.000037,0.000025,;24386080.000000,24456006.000000,24431662.000000,24493144.000000,24600700.000000,:0.000000,0.000000,0.000025,0.000037,0.000012,;32987650.000000,33271088.000000,33268460.000000,33252972.000000,33248550.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
41013208.000000,41484180.000000,40938348.000000,34706532.000000,41754700.000000,:0.000117,0.000033,0.000100,0.000217,0.000075,;31590172.000000,30386520.000000,30975976.000000,30392676.000000,30284982.000000,:0.000058,0.000042,0.000050,0.000025,0.000008,;29697164.000000,29542024.000000,29487080.000000,30265962.000000,29607698.000000,:0.000050,0.000017,0.000033,0.000050,0.000033,;42307448.000000,42112652.000000,42183860.000000,42123296.000000,42041096.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
50386136.000000,52798716.000000,51119240.000000,52692284.000000,50757616.000000,:0.000106,0.000106,0.000094,0.000075,0.000119,;39139812.000000,39392960.000000,39625148.000000,38987024.000000,39246568.000000,:0.000037,0.000050,0.000031,0.000062,0.000075,;37375144.000000,38682664.000000,38976668.000000,38356344.000000,37864720.000000,:0.000112,0.000056,0.000050,0.000056,0.000062,;54539752.000000,54324208.000000,54720124.000000,54183840.000000,53689832.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
56722704.000000,62502204.000000,63136588.000000,58890636.000000,60417916.000000,:0.000145,0.000090,0.000150,0.000125,0.000110,;45658664.000000,45920016.000000,45914748.000000,45925284.000000,45861788.000000,:0.000060,0.000100,0.000075,0.000040,0.000085,;45238436.000000,45180492.000000,45380396.000000,45161108.000000,45193052.000000,:0.000070,0.000090,0.000065,0.000100,0.000105,;64570700.000000,64255996.000000,63887760.000000,64210612.000000,64220712.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;


HM10K:F34,I33,E33
3605084.500000,3608493.000000,3587160.750000,3600684.250000,3608896.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4222206.500000,4245653.500000,4240990.000000,4227650.500000,4247673.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4431426.000000,4408102.000000,4412926.500000,4410980.000000,4416688.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;7620963.500000,7611740.500000,7612725.500000,7609597.000000,7613073.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
